# Time	Temperature [K]	Pressure [Pa]
1e-07	1000	1.36789e+06
2.99998e-07	1000	1.36789e+06
6.99986e-07	1000	1.36789e+06
1.49993e-06	1000	1.36789e+06
3.09969e-06	1000	1.36789e+06
6.2987e-06	1000	1.36789e+06
1.26967e-05	1000	1.36789e+06
2.54846e-05	1000	1.36789e+06
4.41634e-05	1000	1.36789e+06
7.61758e-05	1000	1.36789e+06
0.000128683	1000	1.36789e+06
0.000211635	1000	1.36789e+06
0.000311516	1000	1.36789e+06
0.000411398	1000	1.36789e+06
0.000511279	1000	1.36789e+06
0.00061116	1000	1.36789e+06
0.000711041	1000	1.36789e+06
0.000810923	1000	1.36789e+06
0.000910804	1000	1.36789e+06
0.00101069	1000	1.36789e+06
0.00111057	1000	1.36789e+06
0.00121045	1000	1.36789e+06
0.00131033	1000	1.36789e+06
0.00141021	1000	1.36789e+06
0.00151009	1000	1.36789e+06
0.00160997	1000	1.36789e+06
0.00170985	1000.01	1.36789e+06
0.00180974	1000.01	1.36789e+06
0.00190962	1000.01	1.36789e+06
0.0020095	1000.01	1.36789e+06
0.00210938	1000.01	1.36789e+06
0.00220926	1000.01	1.36789e+06
0.00230914	1000.01	1.36789e+06
0.00240902	1000.01	1.36789e+06
0.0025089	1000.01	1.36789e+06
0.00260879	1000.01	1.36789e+06
0.00270867	1000.02	1.36789e+06
0.00280855	1000.02	1.36789e+06
0.00290843	1000.02	1.36789e+06
0.00300831	1000.02	1.36789e+06
0.00310819	1000.02	1.36789e+06
0.00320807	1000.02	1.36789e+06
0.00330795	1000.02	1.36789e+06
0.00340784	1000.02	1.36789e+06
0.00350772	1000.03	1.36789e+06
0.0036076	1000.03	1.36789e+06
0.00370748	1000.03	1.36789e+06
0.00380736	1000.03	1.36789e+06
0.00390724	1000.03	1.36789e+06
0.00400712	1000.03	1.36789e+06
0.004107	1000.03	1.36789e+06
0.00420689	1000.04	1.36789e+06
0.00430677	1000.04	1.36789e+06
0.00440665	1000.04	1.36789e+06
0.00450653	1000.04	1.36789e+06
0.00460641	1000.04	1.36789e+06
0.00470629	1000.04	1.36789e+06
0.00480617	1000.04	1.36789e+06
0.00490605	1000.05	1.36789e+06
0.00500594	1000.05	1.36789e+06
0.00510582	1000.05	1.36789e+06
0.0052057	1000.05	1.36789e+06
0.00530558	1000.05	1.36789e+06
0.00540546	1000.05	1.36789e+06
0.00550534	1000.06	1.36789e+06
0.00560522	1000.06	1.36789e+06
0.00570511	1000.06	1.36789e+06
0.00580499	1000.06	1.36789e+06
0.00590487	1000.06	1.36789e+06
0.00600475	1000.06	1.36789e+06
0.00610463	1000.07	1.36789e+06
0.00620451	1000.07	1.36789e+06
0.00630439	1000.07	1.36789e+06
0.00640427	1000.07	1.36789e+06
0.00650416	1000.07	1.36789e+06
0.00660404	1000.08	1.36789e+06
0.00670392	1000.08	1.36789e+06
0.0068038	1000.08	1.36789e+06
0.00690368	1000.08	1.36789e+06
0.00700356	1000.08	1.36789e+06
0.00710344	1000.08	1.36789e+06
0.00720332	1000.09	1.36789e+06
0.00730321	1000.09	1.36789e+06
0.00740309	1000.09	1.36789e+06
0.00750297	1000.09	1.36789e+06
0.00760285	1000.09	1.36789e+06
0.00770273	1000.1	1.36789e+06
0.00780261	1000.1	1.36789e+06
0.00790249	1000.1	1.36789e+06
0.00800237	1000.1	1.36789e+06
0.00810226	1000.1	1.36789e+06
0.00820214	1000.11	1.36789e+06
0.00830202	1000.11	1.36789e+06
0.0084019	1000.11	1.36789e+06
0.00850178	1000.11	1.36789e+06
0.00860166	1000.11	1.36789e+06
0.00870154	1000.12	1.36789e+06
0.00880142	1000.12	1.36789e+06
0.00890131	1000.12	1.36789e+06
0.00900119	1000.12	1.36789e+06
0.00910107	1000.13	1.36789e+06
0.00920095	1000.13	1.36789e+06
0.00930083	1000.13	1.36789e+06
0.00940071	1000.13	1.36789e+06
0.00950059	1000.13	1.36789e+06
0.00960047	1000.14	1.36789e+06
0.00970036	1000.14	1.36789e+06
0.00980024	1000.14	1.36789e+06
0.00990012	1000.14	1.36789e+06
0.01	1000.15	1.36789e+06
0.0101	1000.15	1.36789e+06
0.0102	1000.15	1.36789e+06
0.0103	1000.15	1.36789e+06
0.0104	1000.16	1.36789e+06
0.0105	1000.16	1.36789e+06
0.0106	1000.16	1.36789e+06
0.0107	1000.16	1.36789e+06
0.0108	1000.17	1.36789e+06
0.0109	1000.17	1.36789e+06
0.011	1000.17	1.36789e+06
0.0111	1000.17	1.36789e+06
0.0112	1000.18	1.36789e+06
0.0113	1000.18	1.36789e+06
0.0114	1000.18	1.36789e+06
0.0115	1000.18	1.36789e+06
0.0116	1000.19	1.36789e+06
0.0117	1000.19	1.36789e+06
0.0118	1000.19	1.36789e+06
0.0119	1000.19	1.36789e+06
0.012	1000.2	1.36789e+06
0.0121	1000.2	1.36789e+06
0.0122	1000.2	1.36789e+06
0.0123	1000.2	1.36789e+06
0.0124	1000.21	1.36789e+06
0.0125	1000.21	1.36789e+06
0.0126	1000.21	1.36789e+06
0.0127	1000.22	1.36789e+06
0.0128	1000.22	1.36789e+06
0.0129	1000.22	1.36789e+06
0.013	1000.22	1.36789e+06
0.0131	1000.23	1.36789e+06
0.0132	1000.23	1.36789e+06
0.0133	1000.23	1.36789e+06
0.0134	1000.24	1.36789e+06
0.0135	1000.24	1.36789e+06
0.0136	1000.24	1.36789e+06
0.0137	1000.25	1.36789e+06
0.0138	1000.25	1.36789e+06
0.0139	1000.25	1.36789e+06
0.014	1000.25	1.36789e+06
0.0141	1000.26	1.36789e+06
0.0142	1000.26	1.36789e+06
0.0143	1000.26	1.36789e+06
0.0144	1000.27	1.36789e+06
0.0145	1000.27	1.36789e+06
0.0146	1000.27	1.36789e+06
0.0147	1000.28	1.36789e+06
0.0148	1000.28	1.36789e+06
0.0149	1000.28	1.36789e+06
0.015	1000.29	1.36789e+06
0.0151	1000.29	1.36789e+06
0.0152	1000.29	1.36789e+06
0.0153	1000.3	1.36789e+06
0.0154	1000.3	1.36789e+06
0.0155	1000.3	1.36789e+06
0.0156	1000.31	1.36789e+06
0.0157	1000.31	1.36789e+06
0.0158	1000.31	1.36789e+06
0.0159	1000.32	1.36789e+06
0.016	1000.32	1.36789e+06
0.0161	1000.33	1.36789e+06
0.0162	1000.33	1.36789e+06
0.0163	1000.33	1.36789e+06
0.0164	1000.34	1.36789e+06
0.0165	1000.34	1.36789e+06
0.0166	1000.34	1.36789e+06
0.0167	1000.35	1.36789e+06
0.0168	1000.35	1.36789e+06
0.0169	1000.36	1.36789e+06
0.017	1000.36	1.36789e+06
0.0171	1000.36	1.36789e+06
0.0172	1000.37	1.36789e+06
0.0173	1000.37	1.36789e+06
0.0174	1000.37	1.36789e+06
0.0175	1000.38	1.36789e+06
0.0176	1000.38	1.36789e+06
0.0177	1000.39	1.36789e+06
0.0178	1000.39	1.36789e+06
0.0179	1000.39	1.36789e+06
0.018	1000.4	1.36789e+06
0.0181	1000.4	1.36789e+06
0.0182	1000.41	1.36789e+06
0.0183	1000.41	1.36789e+06
0.0184	1000.42	1.36789e+06
0.0185	1000.42	1.36789e+06
0.0186	1000.42	1.36789e+06
0.0187	1000.43	1.36789e+06
0.0188	1000.43	1.36789e+06
0.0189	1000.44	1.36789e+06
0.019	1000.44	1.36789e+06
0.0191	1000.45	1.36789e+06
0.0192	1000.45	1.36789e+06
0.0193	1000.46	1.36789e+06
0.0194	1000.46	1.36789e+06
0.0195	1000.46	1.36789e+06
0.0196	1000.47	1.36789e+06
0.0197	1000.47	1.36789e+06
0.0198	1000.48	1.36789e+06
0.0199	1000.48	1.36789e+06
0.02	1000.49	1.36789e+06
0.0201	1000.49	1.36789e+06
0.0202	1000.5	1.36789e+06
0.0203	1000.5	1.36789e+06
0.0204	1000.51	1.36789e+06
0.0205	1000.51	1.36789e+06
0.0206	1000.52	1.36789e+06
0.0207	1000.52	1.36789e+06
0.0208	1000.53	1.36789e+06
0.0209	1000.53	1.36789e+06
0.021	1000.54	1.36789e+06
0.0211	1000.54	1.36789e+06
0.0212	1000.55	1.36789e+06
0.0213	1000.55	1.36789e+06
0.0214	1000.56	1.36789e+06
0.0215	1000.56	1.36789e+06
0.0216	1000.57	1.36789e+06
0.0217	1000.58	1.36789e+06
0.0218	1000.58	1.36789e+06
0.0219	1000.59	1.36789e+06
0.022	1000.59	1.36789e+06
0.0221	1000.6	1.36789e+06
0.0222	1000.6	1.36789e+06
0.0223	1000.61	1.36789e+06
0.0224	1000.61	1.36789e+06
0.0225	1000.62	1.36789e+06
0.0226	1000.63	1.36789e+06
0.0227	1000.63	1.36789e+06
0.0228	1000.64	1.36789e+06
0.0229	1000.64	1.36789e+06
0.023	1000.65	1.36789e+06
0.0231	1000.66	1.36789e+06
0.0232	1000.66	1.36789e+06
0.0233	1000.67	1.36789e+06
0.0234	1000.67	1.36789e+06
0.0235	1000.68	1.36789e+06
0.0236	1000.69	1.36789e+06
0.0237	1000.69	1.36789e+06
0.0238	1000.7	1.36789e+06
0.0239	1000.71	1.36789e+06
0.024	1000.71	1.36789e+06
0.0241	1000.72	1.36789e+06
0.0242	1000.72	1.36789e+06
0.0243	1000.73	1.36789e+06
0.0244	1000.74	1.36789e+06
0.0245	1000.74	1.36789e+06
0.0246	1000.75	1.36789e+06
0.0247	1000.76	1.36789e+06
0.0248	1000.77	1.36789e+06
0.0249	1000.77	1.36789e+06
0.025	1000.78	1.36789e+06
0.0251	1000.79	1.36789e+06
0.0252	1000.79	1.36789e+06
0.0253	1000.8	1.36789e+06
0.0254	1000.81	1.36789e+06
0.0255	1000.81	1.36789e+06
0.0256	1000.82	1.36789e+06
0.0257	1000.83	1.36789e+06
0.0258	1000.84	1.36789e+06
0.0259	1000.84	1.36789e+06
0.026	1000.85	1.36789e+06
0.0261	1000.86	1.36789e+06
0.0262	1000.87	1.36789e+06
0.0263	1000.87	1.36789e+06
0.0264	1000.88	1.36789e+06
0.0265	1000.89	1.36789e+06
0.0266	1000.9	1.36789e+06
0.0267	1000.91	1.36789e+06
0.0268	1000.91	1.36789e+06
0.0269	1000.92	1.36789e+06
0.027	1000.93	1.36789e+06
0.0271	1000.94	1.36789e+06
0.0272	1000.95	1.36789e+06
0.0273	1000.95	1.36789e+06
0.0274	1000.96	1.36789e+06
0.0275	1000.97	1.36789e+06
0.0276	1000.98	1.36789e+06
0.0277	1000.99	1.36789e+06
0.0278	1001	1.36789e+06
0.0279	1001.01	1.36789e+06
0.028	1001.01	1.36789e+06
0.0281	1001.02	1.36789e+06
0.0282	1001.03	1.36789e+06
0.0283	1001.04	1.36789e+06
0.0284	1001.05	1.36789e+06
0.0285	1001.06	1.36789e+06
0.0286	1001.07	1.36789e+06
0.0287	1001.08	1.36789e+06
0.0288	1001.09	1.36789e+06
0.0289	1001.1	1.36789e+06
0.029	1001.11	1.36789e+06
0.0291	1001.12	1.36789e+06
0.0292	1001.13	1.36789e+06
0.0293	1001.14	1.36789e+06
0.0294	1001.15	1.36789e+06
0.0295	1001.16	1.36789e+06
0.0296	1001.17	1.36789e+06
0.0297	1001.18	1.36789e+06
0.0298	1001.19	1.36789e+06
0.0299	1001.2	1.36789e+06
0.03	1001.21	1.36789e+06
0.0301	1001.22	1.36789e+06
0.0302	1001.23	1.36789e+06
0.0303	1001.24	1.36789e+06
0.0304	1001.25	1.36789e+06
0.0305	1001.26	1.36789e+06
0.0306	1001.27	1.36789e+06
0.0307	1001.28	1.36789e+06
0.0308	1001.29	1.36789e+06
0.0309	1001.3	1.36789e+06
0.031	1001.31	1.36789e+06
0.0311	1001.33	1.36789e+06
0.0312	1001.34	1.36789e+06
0.0313	1001.35	1.36789e+06
0.0314	1001.36	1.36789e+06
0.0315	1001.37	1.36789e+06
0.0316	1001.38	1.36789e+06
0.0317	1001.4	1.36789e+06
0.0318	1001.41	1.36789e+06
0.0319	1001.42	1.36789e+06
0.032	1001.43	1.36789e+06
